City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Severo-Kurilsk,50.6789,156.125,25.23,82,27,6.49,RU,2022-01-07 22:19:10
1,Vilyuysk,63.7553,121.6247,-21.66,94,97,2.06,RU,2022-01-07 22:19:11
2,Bredasdorp,-34.5322,20.0403,69.28,88,99,17.27,ZA,2022-01-07 22:19:11
3,Kaeo,-35.1,173.7833,72.63,65,46,6.89,NZ,2022-01-07 22:19:11
4,Pendleton,45.6721,-118.7886,48.09,60,40,10.0,US,2022-01-07 22:18:35
5,Bluff,-46.6,168.3333,61.81,76,95,3.62,NZ,2022-01-07 22:19:12
6,Vaini,-21.2,-175.2,80.76,89,75,9.22,TO,2022-01-07 22:19:12
7,Hobart,-42.8794,147.3294,61.05,88,75,10.36,AU,2022-01-07 22:19:12
8,Sao Joao Da Barra,-21.6403,-41.0511,73.06,95,100,5.35,BR,2022-01-07 22:19:13
9,Abu Samrah,35.3029,37.1841,50.16,68,0,2.93,SY,2022-01-07 22:19:13
10,Nikolskoye,59.7035,30.7861,9.81,98,82,4.61,RU,2022-01-07 22:19:13
11,Ilulissat,69.2167,-51.1,3.33,93,100,1.92,GL,2022-01-07 22:19:14
12,Tasiilaq,65.6145,-37.6368,32.16,93,100,25.39,GL,2022-01-07 22:19:14
13,East London,-33.0153,27.9116,71.44,91,99,12.64,ZA,2022-01-07 22:19:14
14,Kedrovyy,56.1667,91.8167,-14.13,100,58,4.07,RU,2022-01-07 22:19:15
15,Katsuura,35.1333,140.3,40.19,55,99,7.47,JP,2022-01-07 22:19:15
16,Atuona,-9.8,-139.0333,78.46,68,33,16.64,PF,2022-01-07 22:19:15
17,Salalah,17.0151,54.0924,66.29,39,0,5.75,OM,2022-01-07 22:19:16
18,Saint-Philippe,-21.3585,55.7679,75.22,83,100,5.39,RE,2022-01-07 22:19:16
19,Sawtell,-30.3833,153.1,77.18,78,100,9.71,AU,2022-01-07 22:19:17
20,Port Alfred,-33.5906,26.891,71.15,90,96,20.45,ZA,2022-01-07 22:19:17
21,Jamestown,42.097,-79.2353,20.79,90,100,7.0,US,2022-01-07 22:19:17
22,Albany,42.6001,-73.9662,26.1,67,55,1.01,US,2022-01-07 22:19:18
23,Baikunthpur,23.25,82.55,55.9,67,1,4.54,IN,2022-01-07 22:19:18
24,Rikitea,-23.1203,-134.9692,77.18,77,93,17.52,PF,2022-01-07 22:19:18
25,Varzea Da Palma,-17.5981,-44.7308,69.44,98,100,0.54,BR,2022-01-07 22:19:19
26,Yulara,-25.2406,130.9889,75.04,22,0,11.5,AU,2022-01-07 22:19:19
27,Nome,64.5011,-165.4064,19.47,45,0,6.67,US,2022-01-07 22:19:19
28,Hermanus,-34.4187,19.2345,69.8,81,83,20.33,ZA,2022-01-07 22:19:20
29,Castro,-24.7911,-50.0119,64.04,80,100,8.75,BR,2022-01-07 22:19:20
30,Georgetown,5.4112,100.3354,80.53,83,20,2.3,MY,2022-01-07 22:19:20
31,Mataura,-46.1927,168.8643,61.48,55,98,1.99,NZ,2022-01-07 22:19:21
32,Piacabucu,-10.4056,-36.4344,80.31,81,100,16.04,BR,2022-01-07 22:19:21
33,Avarua,-21.2078,-159.775,84.25,79,20,9.22,CK,2022-01-07 22:19:21
34,Barrow,71.2906,-156.7887,-11.18,77,0,8.05,US,2022-01-07 22:19:22
35,Jiuquan,39.7432,98.5174,22.26,44,92,1.9,CN,2022-01-07 22:19:22
36,Olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,2022-01-07 22:19:23
37,Najran,17.4924,44.1277,52.45,40,14,1.95,SA,2022-01-07 22:19:23
38,Grindavik,63.8424,-22.4338,36.07,87,75,35.68,IS,2022-01-07 22:19:24
39,Matara,5.9485,80.5353,73.83,92,63,6.08,LK,2022-01-07 22:19:24
40,Pangnirtung,66.1451,-65.7125,-19.21,97,100,2.98,CA,2022-01-07 22:19:24
41,Hofn,64.2539,-15.2082,40.62,66,99,20.15,IS,2022-01-07 22:19:25
42,Kedougou,12.5579,-12.1743,80.33,17,1,1.36,SN,2022-01-07 22:19:25
43,Cockburn Town,21.4612,-71.1419,78.55,65,2,15.23,TC,2022-01-07 22:19:25
44,Alice Springs,-23.7,133.8833,74.75,23,0,8.05,AU,2022-01-07 22:19:26
45,Padang,-0.9492,100.3543,75.25,88,75,4.29,ID,2022-01-07 22:19:26
46,Chuy,-33.6971,-53.4616,70.93,59,66,11.12,UY,2022-01-07 22:20:26
47,Kavaratti,10.5669,72.642,79.0,68,3,2.48,IN,2022-01-07 22:20:27
48,Santa Catalina,9.3337,122.8637,75.34,89,37,5.97,PH,2022-01-07 22:20:27
49,Punta Arenas,-53.15,-70.9167,51.91,82,100,18.41,CL,2022-01-07 22:20:27
50,Karratha,-20.7377,116.8463,82.44,79,77,7.92,AU,2022-01-07 22:20:28
51,Mahebourg,-20.4081,57.7,77.29,88,75,3.44,MU,2022-01-07 22:20:28
52,Asfi,32.2994,-9.2372,55.38,80,16,18.41,MA,2022-01-07 22:20:29
53,Qaanaaq,77.484,-69.3632,6.03,71,100,5.48,GL,2022-01-07 22:20:29
54,Arman,59.7,150.1667,4.73,82,37,12.06,RU,2022-01-07 22:20:29
55,Arraial Do Cabo,-22.9661,-42.0278,73.26,100,100,5.75,BR,2022-01-07 22:20:30
56,Keuruu,62.2667,24.7,19.58,100,78,2.59,FI,2022-01-07 22:20:30
57,Copacabana,6.3463,-75.5089,68.74,94,100,2.3,CO,2022-01-07 22:20:30
58,Mantua,45.1667,10.7833,36.82,86,98,1.74,IT,2022-01-07 22:20:31
59,Ribeira Grande,38.5167,-28.7,59.81,59,66,6.4,PT,2022-01-07 22:20:31
60,Christchurch,-43.5333,172.6333,66.33,69,75,1.01,NZ,2022-01-07 22:17:09
61,Khatanga,71.9667,102.5,-24.0,100,60,5.84,RU,2022-01-07 22:20:32
62,Hambantota,6.1241,81.1185,75.72,87,55,12.8,LK,2022-01-07 22:20:32
63,Ushuaia,-54.8,-68.3,53.26,58,100,16.11,AR,2022-01-07 22:20:32
64,Likasi,-10.9814,26.7333,64.65,96,100,2.89,CD,2022-01-07 22:20:32
65,Luderitz,-26.6481,15.1594,61.83,92,0,8.19,NA,2022-01-07 22:20:33
66,Kapaa,22.0752,-159.319,80.19,69,0,1.99,US,2022-01-07 22:20:33
67,Airai,-8.9266,125.4092,60.76,90,90,1.19,TL,2022-01-07 22:20:34
68,Carnarvon,-24.8667,113.6333,75.27,78,75,11.5,AU,2022-01-07 22:20:34
69,Ayr,55.4627,-4.6339,35.58,93,40,8.05,GB,2022-01-07 22:20:34
70,Loiza,18.4313,-65.8802,80.56,78,40,8.05,PR,2022-01-07 22:20:35
71,Awjilah,29.1081,21.2869,60.75,30,71,5.48,LY,2022-01-07 22:20:35
72,Half Moon Bay,37.4636,-122.4286,59.41,87,100,3.0,US,2022-01-07 22:16:51
73,Kudahuvadhoo,2.6708,72.8944,81.3,79,100,12.06,MV,2022-01-07 22:20:36
74,Kyabram,-36.3167,145.05,69.39,71,7,10.92,AU,2022-01-07 22:20:36
75,Dikson,73.5069,80.5464,-11.11,83,100,18.72,RU,2022-01-07 22:20:36
76,Arica,-18.475,-70.3042,74.75,73,0,9.22,CL,2022-01-07 22:16:03
77,Tuktoyaktuk,69.4541,-133.0374,-13.32,97,100,21.43,CA,2022-01-07 22:20:37
78,Provideniya,64.3833,-173.3,14.11,78,16,11.7,RU,2022-01-07 22:20:38
79,Gamba,-2.65,10.0,77.09,89,100,3.58,GA,2022-01-07 22:20:38
80,Sur,22.5667,59.5289,67.62,40,0,15.57,OM,2022-01-07 22:20:39
81,Ahipara,-35.1667,173.1667,74.32,61,21,7.65,NZ,2022-01-07 22:20:39
82,Yellowknife,62.456,-114.3525,-17.1,98,68,7.09,CA,2022-01-07 22:16:43
83,Leiyang,26.4024,112.8591,43.14,95,100,4.34,CN,2022-01-07 22:20:39
84,Tuatapere,-46.1333,167.6833,61.83,59,100,1.43,NZ,2022-01-07 22:20:40
85,Eureka,40.8021,-124.1637,52.75,92,99,5.35,US,2022-01-07 22:20:40
86,Pangai,-19.8,-174.35,86.11,70,40,4.61,TO,2022-01-07 22:20:40
87,Chernyshevskiy,63.0128,112.4714,-28.5,100,66,2.95,RU,2022-01-07 22:20:41
88,Geraldton,-28.7667,114.6,73.81,83,100,13.8,AU,2022-01-07 22:20:41
89,Norman Wells,65.282,-126.8329,-7.02,92,100,19.8,CA,2022-01-07 22:20:42
90,Bethel,41.3712,-73.414,31.5,61,20,8.05,US,2022-01-07 22:16:46
91,Phalaborwa,-23.943,31.1411,74.48,75,100,11.1,ZA,2022-01-07 22:21:42
92,Narsaq,60.9167,-46.05,12.42,78,90,3.09,GL,2022-01-07 22:21:43
93,Yayva,59.3303,57.2641,15.17,97,100,2.04,RU,2022-01-07 22:21:43
94,Nanortalik,60.1432,-45.2371,21.96,78,69,30.06,GL,2022-01-07 22:21:43
95,Pochutla,15.7432,-96.4661,83.25,55,70,7.54,MX,2022-01-07 22:21:44
96,Lakes Entrance,-37.8811,147.981,72.57,80,73,8.14,AU,2022-01-07 22:21:44
97,Faanui,-16.4833,-151.75,81.55,77,33,14.58,PF,2022-01-07 22:21:44
98,San Angelo,31.4638,-100.437,64.11,34,0,1.99,US,2022-01-07 22:21:45
99,Madimba,-10.4,40.3333,80.87,84,92,10.09,TZ,2022-01-07 22:21:45
